Designation,Mid X,Mid Y,Layer,Rotation
C101,138.025,-70.725,top,0
C102,138.025,-72.75,top,180
C103,138.025,-74.8,top,0
C104,154.675,-70.725,top,0
C105,154.675,-74.8,top,180
C106,154.125,-91.5,top,90
C107,154.675,-72.75,top,180
C108,152.325,-94.65,top,180
C201,139.7,-90.875,top,180
C202,141.7,-90.875,top,0
C301,134.25,-78.575,top,135
C302,134.225,-90.528939,top,-135
C303,132.8,-89.1,top,-135
C304,141.525349,-86.064949,top,45
C305,130.210589,-78.259411,top,-135
C306,130.5,-82.325,top,135
C308,135.8,-76.65,top,45
C401,162.2,-96.65,top,180
C501,152.325,-96.725,top,180
C502,157.665,-94.86,top,-90
C503,162.125,-91.175,top,90
C601,158.05,-87.95,top,90
C602,157.3,-90.725,top,-90
C701,140.12,-80.475,top,180
C702,150.1,-80.5,top,180
C703,144.82,-80.513857,top,180
D101,161.9,-84.85,top,-90
D201,131.125,-94.95,top,180
D301,131.0625,-91.275,top,0
D302,131.0625,-92.925,top,0
D501,154.1,-77.525,top,-90
D502,156.125,-77.825,top,-90
D601,159.325,-87.375,top,-90
D602,159.45,-91.9,top,180
D603,159.45,-89.9,top,0
FID101,129.9,-76.2,top,0
FID102,130.25,-96.775,top,0
FID103,162.5,-76.65,top,0
J201,137.060284,-96.225629,top,-45
L501,160.825,-94.525,top,0
Q501,159.0625,-78.825,top,0
R101,142.125,-97.85,top,90
R102,138.65,-92.35,top,90
R103,152.115,-93.075,top,0
R104,151.25,-89.025,top,90
R105,150.225,-89.025,top,-90
R301,133.5,-89.825,top,-135
R302,134.914376,-91.260624,top,-135
R306,135,-77.875,top,135
R501,157.19,-96.335,top,180
R502,155.665,-96.785,top,-90
R503,154.59,-96.785,top,-90
R504,161.8,-79.05,top,90
R505,156.15,-79.975,top,0
R601,162.165,-88.925,top,0
U201,140.9,-93.475,top,-90
U301,135.950349,-85.039949,top,-45
U302,146.85,-95.02,top,0
U401,146.3,-86.975,top,90
U501,155.515,-94.635,top,-90
U601,154,-84.225,top,-135
U701,141,-77.925,top,180
U702,150.95,-77.975,top,180
U703,145.7,-77.975,top,180
Y301,131.823223,-79.898858,top,-135